SortOrder,Region,Region or State,Year,Total land,Total cropland,Cropland used for crops,Cropland used for pasture,Cropland idled,Grassland pasture and range,Forest-use land (all),Forest-use land grazed,Forest-use land not grazed,All special uses of land,Land in rural transportation facilities,Land in rural parks and wildlife areas,Land in defense and industrial areas,"Farmsteads, roads, and miscellaneous farmland",Land in urban areas,Other land
726,Mountain,Idaho,1969,52913,6166,4901,967,298,22073,18030,5344,12686,3929,286,2832,691,120,106,2609
727,Mountain,Idaho,1974,52913,6395,5272,874,249,20840,18030,5253,12777,3937,288,2862,686,101,141,3570
728,Mountain,Idaho,1978,52913,6632,5599,767,266,21004,17890,5179,12711,4265,289,3181,687,108,146,2976
729,Mountain,Idaho,1982,52744,6603,5624,763,216,20407,17880,5000,12880,5167,302,4076,687,102,163,2524
730,Mountain,Idaho,1987,52744,6963,5102,816,1045,19943,17767,4868,12899,5278,279,4218,683,98,187,2606
731,Mountain,Idaho,1992,52961,6677,4799,815,1063,20219,18033,4875,13158,5227,284,4239,622,82,223,2582
732,Mountain,Idaho,1997,52961,5766,4197,816,753,21165,17123,4432,12691,5266,278,4270,630,88,233,3409
733,Mountain,Idaho,2002,52958,6408,4783,770,855,20984,16824,4432,12392,6174,442,4940,628,165,263,2305
734,Mountain,Idaho,2007,52958,5980,4680,511,789,18082,17455,9473,7983,5933,381,5324,69,160,269,5238
735,Mountain,Idaho,2012,52892,5801,4790,221,789,18391,16771,10000,6771,6542,406,5358,686,91,331,5056
736,Mountain,Wyoming,1945,62404,2220,1909,112,199,46446,7019,5900,1119,2836,288,2349,102,97,35,3848
737,Mountain,Wyoming,1949,62404,2712,2024,405,283,48355,7009,5775,1234,3282,297,2387,501,97,45,1001
738,Mountain,Wyoming,1954,62404,2582,2035,445,102,48484,7720,3917,3803,2806,346,2267,135,58,39,773
739,Mountain,Wyoming,1959,62343,2768,2075,588,105,46390,7648,3844,3804,3104,523,2430,90,61,48,2385
740,Mountain,Wyoming,1964,62260,2836,2077,567,192,45826,6362,3390,2972,5585,647,4851,28,59,49,1602
741,Mountain,Wyoming,1969,62210,2813,2115,601,97,45911,5885,2897,2988,5221,375,4759,26,61,49,2331
742,Mountain,Wyoming,1974,62210,2730,2101,560,69,46016,5885,2943,2942,5312,387,4850,25,50,63,2204
743,Mountain,Wyoming,1978,62210,2916,2347,473,96,45537,5640,3846,1794,5589,411,5110,25,43,80,2448
744,Mountain,Wyoming,1982,62073,2778,2264,461,53,45594,5640,3700,1940,5768,436,5277,11,44,103,2190
745,Mountain,Wyoming,1987,62073,2948,2150,550,248,45146,5552,3680,1872,6293,452,5783,8,50,111,2023
746,Mountain,Wyoming,1992,62147,3056,1984,721,351,44905,5766,3709,2057,6296,428,5802,25,41,166,1958
747,Mountain,Wyoming,1997,62147,3080,2064,759,257,44873,5085,3543,1542,6332,406,5862,20,44,206,2571
748,Mountain,Wyoming,2002,62144,2860,1583,913,364,44323,5739,3543,2196,6416,409,5907,20,79,109,2697
749,Mountain,Wyoming,2007,62144,2218,1657,420,141,44653,7661,5029,2632,7279,410,6783,17,70,110,222
750,Mountain,Wyoming,2012,62140,1986,1523,256,207,46086,7002,6022,980,6340,416,5861,17,47,128,597
751,Mountain,Colorado,1945,66539,8557,6549,515,1493,33096,19533,14933,4600,2155,667,521,745,222,106,3092
752,Mountain,Colorado,1949,66510,11028,7479,970,2579,32073,19103,14618,4485,1638,624,551,241,222,131,2537
753,Mountain,Colorado,1954,66510,11257,10108,1008,141,33237,19523,11280,8243,1826,639,585,414,188,151,516
754,Mountain,Colorado,1959,66486,11846,9014,1235,1597,29436,20913,13371,7542,1779,652,677,280,170,230,2282
755,Mountain,Colorado,1964,66428,11341,8677,1120,1544,29017,21351,12624,8727,2646,672,1543,268,163,256,1817
756,Mountain,Colorado,1969,66410,11105,8826,1389,890,29711,19387,10210,9177,2756,704,1589,297,166,336,3115
757,Mountain,Colorado,1974,66410,10959,9159,1292,508,29274,19387,9745,9642,2808,727,1653,298,130,430,3552
758,Mountain,Colorado,1978,66410,10818,9131,1078,609,28731,20009,12745,7264,3515,735,2350,300,130,546,2791
759,Mountain,Colorado,1982,66301,10870,9377,1000,493,28198,19809,12200,7609,4643,655,3654,215,119,663,2118
760,Mountain,Colorado,1987,66301,11912,8684,1170,2058,27898,18837,11858,6979,4795,585,3776,316,118,792,2067
761,Mountain,Colorado,1992,66386,11682,8348,1177,2157,28087,18837,11536,7301,4957,580,3799,469,109,909,1914
762,Mountain,Colorado,1997,66386,11415,8899,736,1780,27867,18781,11987,6794,5700,658,4463,444,135,1070,1554
763,Mountain,Colorado,2002,66380,12044,8054,1835,2155,28158,18925,10516,8409,6022,740,4629,438,216,814,417
764,Mountain,Colorado,2007,66380,11428,8110,1242,2076,28871,18236,10026,8210,6331,701,4979,437,214,831,682
765,Mountain,Colorado,2012,66331,10668,8013,437,2218,31734,15138,9972,5166,7455,672,6185,470,129,1012,323
766,Mountain,New Mexico,1945,77767,2502,2127,135,240,50417,19968,16743,3225,2958,333,310,2060,255,117,1805
767,Mountain,New Mexico,1949,77767,2839,2167,446,226,51801,19291,16389,2902,2386,338,452,1341,255,187,1263
768,Mountain,New Mexico,1954,77767,2504,1870,464,170,50178,20369,18219,2150,2441,389,451,1450,151,155,2120
769,Mountain,New Mexico,1959,77766,2650,1275,429,946,48446,18934,17005,1929,4144,395,468,3142,139,198,3394
770,Mountain,New Mexico,1964,77725,2554,1292,385,877,51471,17341,15483,1858,4972,402,1595,2910,65,212,1175
771,Mountain,New Mexico,1969,77703,2351,1371,513,467,51025,17256,14929,2327,4937,408,1605,2832,92,225,1909
772,Mountain,New Mexico,1974,77703,2302,1553,542,207,50525,17256,14461,2795,5046,417,1997,2573,59,279,2295
773,Mountain,New Mexico,1978,77703,2338,1605,481,252,51382,16805,11044,5761,4974,425,1927,2564,58,339,1865
774,Mountain,New Mexico,1982,77654,2369,1690,450,229,51217,16805,10900,5905,5279,368,2281,2580,50,384,1600
775,Mountain,New Mexico,1987,77654,2439,1217,557,665,51818,17127,10579,6548,3647,349,2233,1012,53,471,2152
776,Mountain,New Mexico,1992,77673,2482,1303,530,649,52478,14164,9361,4803,5926,376,2495,3003,52,541,2081
777,Mountain,New Mexico,1997,77673,2427,1313,639,474,52188,14084,9237,4847,6360,378,2538,3389,55,636,1979
778,Mountain,New Mexico,2002,77668,2671,1209,837,625,51676,14978,9482,5495,6449,422,2479,3437,111,484,1410
779,Mountain,New Mexico,2007,77668,2367,1174,648,545,52122,14977,11773,3204,6477,433,2492,3427,125,493,1232
780,Mountain,New Mexico,2012,77631,1948,1183,231,534,54344,13278,11914,1364,6782,456,2720,3531,75,539,741
781,Mountain,Arizona,1945,72691,959,673,230,56,43365,19466,16791,2675,7088,254,1455,5080,299,44,1769
782,Mountain,Arizona,1949,72688,1266,1027,184,55,46763,19206,16436,2770,4258,271,1483,2205,299,76,1119
783,Mountain,Arizona,1954,72688,1615,1226,201,188,44838,18412,18160,252,5004,324,1493,3135,52,82,2737
784,Mountain,Arizona,1959,72688,1557,1258,204,95,42455,18278,15668,2610,6744,286,2789,3629,40,312,3342
785,Mountain,Arizona,1964,72680,1669,1238,142,289,41169,19798,15130,4668,7615,296,3630,3642,47,380,2049
786,Mountain,Arizona,1969,72587,1665,1251,146,268,41354,17420,16290,1130,7667,326,3716,3577,48,411,4070
787,Mountain,Arizona,1974,72587,1645,1310,117,218,40941,17420,13022,4398,8179,376,4170,3586,47,530,3872
788,Mountain,Arizona,1978,72587,1659,1309,144,206,41506,17475,13812,3663,9188,382,5171,3590,45,799,1960
789,Mountain,Arizona,1982,72645,1533,1174,129,230,41565,17846,13400,4446,9063,415,5073,3533,42,977,1661
790,Mountain,Arizona,1987,72645,1547,1056,140,351,41504,17257,13397,3860,9849,393,5766,3649,41,1194,1294
791,Mountain,Arizona,1992,72731,1303,961,111,231,40641,15968,13224,2744,12321,346,8431,3509,35,1371,1128
792,Mountain,Arizona,1997,72731,1254,951,116,187,40509,16306,12914,3392,10092,347,8468,1222,55,1746,2825
793,Mountain,Arizona,2002,72726,1235,875,214,146,40533,17608,11709,5899,11373,493,9586,1221,73,1080,897
794,Mountain,Arizona,2007,72726,914,818,0,96,40648,16780,12403,4378,13136,497,9601,2971,67,1099,150
795,Mountain,Arizona,2012,72700,1134,908,84,142,43580,13000,12687,313,11919,535,7704,3593,87,1465,1602
796,Mountain,Utah,1945,52701,1664,1262,128,274,35433,8462,6491,1971,2691,194,348,2030,119,195,4256
797,Mountain,Utah,1949,52701,2053,1403,305,345,34850,8453,6354,2099,2911,191,426,2175,119,248,4186
798,Mountain,Utah,1954,52701,2037,1637,275,125,27577,15409,14792,617,3154,217,427,2415,95,197,4327
799,Mountain,Utah,1959,52697,2219,1363,409,447,24665,15398,14855,543,2634,235,507,1814,78,243,7538
800,Mountain,Utah,1964,52724,2288,1358,442,488,25775,14187,12768,1419,4522,252,2299,1901,70,264,5688
801,Mountain,Utah,1969,52541,1983,1340,507,136,24893,14720,13975,745,4777,269,2558,1882,68,221,5947
802,Mountain,Utah,1974,52541,1996,1426,438,132,23711,14720,14333,387,4945,292,2725,1878,50,240,6929
803,Mountain,Utah,1978,52541,2034,1425,491,118,23503,14933,11295,3638,4777,292,2561,1872,52,384,6910
804,Mountain,Utah,1982,52527,1995,1409,470,116,23238,15443,11000,4443,4901,296,2778,1776,51,459,6491
805,Mountain,Utah,1987,52527,2104,1278,528,298,23080,14793,10962,3831,5451,282,3378,1739,52,526,6573
806,Mountain,Utah,1992,52588,2108,1202,561,345,23760,14078,10618,3460,5550,288,3435,1779,48,497,6596
807,Mountain,Utah,1997,52588,2045,1252,558,234,23737,13832,9972,3860,5059,313,3688,1001,57,549,7367
808,Mountain,Utah,2002,52572,2044,1194,602,248,24339,14905,9596,5310,4958,358,3538,997,66,444,5882
809,Mountain,Utah,2007,52572,1738,1137,403,198,26120,16058,7991,8068,5858,343,3675,1771,69,450,2348
810,Mountain,Utah,2012,52589,1476,1090,140,246,32774,9810,8187,1623,6045,373,3798,1815,59,614,1870
811,Mountain,Nevada,1945,70273,546,490,36,20,53714,4708,2445,2263,6327,270,2367,3628,62,27,4951
812,Mountain,Nevada,1949,70265,619,461,145,13,56218,4720,2393,2327,4292,273,389,3568,62,47,4369
813,Mountain,Nevada,1954,70265,678,373,253,52,46070,11509,11139,370,4978,350,359,4251,18,41,6989
814,Mountain,Nevada,1959,70264,848,363,362,123,48510,11849,11424,425,5612,441,1079,4074,18,53,3392
815,Mountain,Nevada,1964,70329,836,527,191,118,48231,11509,8845,2664,5669,450,1171,4027,21,78,4006
816,Mountain,Nevada,1969,70328,783,573,162,48,48638,7255,7113,142,7108,496,2628,3964,20,125,6419
817,Mountain,Nevada,1974,70328,753,564,153,36,46673,7255,7094,161,7051,506,2593,3937,15,184,8412
818,Mountain,Nevada,1978,70328,865,615,191,59,45976,7272,6347,925,7485,507,3010,3936,32,215,8515
819,Mountain,Nevada,1982,70332,862,614,190,58,45909,7272,6200,1072,7515,362,3117,3936,100,262,8512
820,Mountain,Nevada,1987,70332,852,583,209,60,45735,7383,6345,1038,7517,348,3245,3896,28,300,8545
821,Mountain,Nevada,1992,70275,831,478,264,89,46061,7224,6265,959,7569,346,4049,3153,21,631,7959
822,Mountain,Nevada,1997,70275,867,546,265,56,46278,8199,7016,1183,5726,354,4065,1286,21,801,8404
823,Mountain,Nevada,2002,70289,884,534,314,36,46448,8636,6887,1750,6882,397,5086,1356,42,350,7088
824,Mountain,Nevada,2007,70289,731,516,185,30,46850,10436,3543,6892,9535,360,6509,2626,41,356,2380
825,Mountain,Nevada,2012,70260,577,478,57,42,52329,5417,4394,1023,11276,373,6580,4295,27,520,141
826,Pacific total,Pacific,1945,204883,23404,15263,3201,4940,56824,96546,36475,60071,12117,1677,6288,3147,1005,1857,14135
827,Pacific total,Pacific,1949,204699,27023,17120,5214,4689,60550,97160,51541,45619,12474,1702,6984,2783,1005,2722,4770
828,Pacific total,Pacific,1954,204699,26243,20931,4446,866,59850,89905,41572,48333,14745,1916,6803,5219,807,2085,11871
829,Pacific total,Pacific,1959,204500,26134,20464,4699,971,53965,89863,34713,55150,14621,1899,7207,4814,701,3218,16699
830,Pacific total,Pacific,1964,204422,25451,19925,3764,1762,54307,89819,32568,57251,18948,1936,11522,4776,714,3681,12216
831,Pacific total,Pacific,1969,204233,24302,19049,3755,1498,52594,89952,29084,60868,19521,1927,12314,4650,630,4117,13747
832,Pacific total,Pacific,1974,204233,24786,20988,2907,891,53761,89747,27294,62453,19663,1976,12497,4720,470,4621,11655
833,Pacific total,Pacific,1978,204233,25378,21068,3057,1253,52595,85882,28919,56963,21106,1846,14030,4690,540,5215,14057
834,Pacific total,Pacific,1982,204156,25403,21462,2815,1126,52296,85077,29550,55527,21890,2009,14768,4565,548,5815,13675
835,Pacific total,Pacific,1987,204156,25236,19059,2775,3402,51981,80576,28163,52413,24974,2018,18740,3692,524,6755,14634
836,Pacific total,Pacific,1992,203876,23928,18237,2596,3095,54480,79278,25641,53637,23284,1946,19291,1565,482,7377,15530
837,Pacific total,Pacific,1997,203876,24367,19384,2693,2290,52144,76661,26752,49909,31228,1950,26182,2592,503,7903,11573
838,Pacific total,Pacific,2002,203840,23949,18471,2847,2630,52338,78296,27508,50788,32343,2292,26734,2636,681,7124,9791
839,Pacific total,Pacific,2007,203840,22110,17377,1858,2875,57040,74021,27975,46045,36821,2109,28930,5064,717,7239,6610
840,Pacific total,Pacific,2012,203663,21780,17396,914,3470,57843,59188,27837,31351,36648,2068,28641,5418,521,7571,20633
841,Pacific,Washington,1945,42865,7132,4316,439,2377,9093,23268,6605,16663,2221,302,1240,454,225,248,903
842,Pacific,Washington,1949,42743,7721,4580,715,2426,8666,23044,9333,13711,2069,299,1370,175,225,359,884
843,Pacific,Washington,1954,42743,7710,6887,621,202,7628,21576,8732,12844,2791,330,1431,837,193,330,2708
844,Pacific,Washington,1959,42694,8053,6914,724,415,8127,21151,5100,16051,2898,327,1562,831,178,489,1976
845,Pacific,Washington,1964,42664,8185,6839,784,562,8318,20725,4628,16097,4487,332,3174,820,161,508,441
846,Pacific,Washington,1969,42605,8278,6989,834,455,6982,20739,4614,16125,4831,363,3571,756,141,603,1172
847,Pacific,Washington,1974,42605,8367,7470,688,209,6679,20534,3543,16991,4648,365,3421,751,111,689,1688
848,Pacific,Washington,1978,42605,8410,7394,614,402,6586,20349,3598,16751,5250,370,3999,749,132,776,1234
849,Pacific,Washington,1982,42567,8480,7559,612,309,7705,18557,3900,14657,5356,481,4012,735,128,896,1573
850,Pacific,Washington,1987,42567,8365,6675,579,1111,7235,17857,3553,14304,6637,480,5253,785,119,1012,1461
851,Pacific,Washington,1992,42612,8235,6500,551,1184,7590,17985,3113,14872,6298,476,5272,445,105,1240,1264
852,Pacific,Washington,1997,42612,8400,6854,528,1018,7406,17418,3292,14126,6638,467,5280,788,103,1371,1378
853,Pacific,Washington,2002,42588,7983,6254,499,1230,7369,17347,3879,13468,6840,611,5276,792,160,1367,1682
854,Pacific,Washington,2007,42588,7626,5733,372,1521,6789,19225,4809,14417,7141,554,5520,886,181,1397,410
855,Pacific,Washington,2012,42532,7539,5558,125,1856,7314,18081,4368,13713,7601,548,5572,1355,127,1553,444
856,Pacific,Oregon,1945,61664,4909,3303,566,1040,25176,29387,14237,15150,1211,344,342,308,217,146,835
857,Pacific,Oregon,1949,61642,5537,3596,969,972,24340,29306,20118,9188,1400,367,669,147,217,197,862
858,Pacific,Oregon,1954,61642,5282,4252,807,223,25561,28931,15050,13881,1396,380,670,163,183,184,288
859,Pacific,Oregon,1959,61599,5474,4184,942,348,23217,29310,12706,16604,1428,398,707,173,150,273,1897
860,Pacific,Oregon,1964,61574,5425,4103,927,395,22709,29688,12377,17311,2243,415,1511,156,161,291,1218
861,Pacific,Oregon,1969,61557,5145,3818,1077,250,22756,29387,11645,17742,2158,421,1541,66,130,323,1788
862,Pacific,Oregon,1974,61557,5276,4242,815,219,23172,29387,11302,18085,2273,428,1675,66,104,382,1067
863,Pacific,Oregon,1978,61557,5247,4217,815,215,23119,28498,11921,16577,2659,418,2055,66,120,432,1602
864,Pacific,Oregon,1982,61558,5357,4324,858,175,22011,29477,12650,16827,2707,450,2070,66,121,471,1535
865,Pacific,Oregon,1987,61558,5384,3695,858,831,22913,26278,11859,14419,3568,450,2986,18,114,519,2896
866,Pacific,Oregon,1992,61441,5281,3720,818,743,22456,26614,11841,14773,3612,450,3033,23,106,565,2913
867,Pacific,Oregon,1997,61441,5339,3853,919,566,22395,26664,11699,14965,3594,454,2970,44,126,610,2840
868,Pacific,Oregon,2002,61438,5311,3626,1003,681,23239,27169,11558,15611,3946,534,3159,76,177,662,1112
869,Pacific,Oregon,2007,61438,4934,3560,677,696,22726,27813,10356,17456,4303,466,3578,84,175,675,987
870,Pacific,Oregon,2012,61432,4664,3522,308,834,23863,24116,10060,14056,4151,458,3446,128,119,719,3919
871,Pacific,California,1945,100354,11363,7644,2196,1523,22555,43891,15633,28258,8685,1031,4706,2385,563,1463,12397
872,Pacific,California,1949,100314,13765,8944,3530,1291,27544,44810,22090,22720,9005,1036,4945,2461,563,2166,3024
873,Pacific,California,1954,100314,13251,9792,3018,441,26661,39398,17790,21608,10558,1206,4702,4219,431,1571,8875
874,Pacific,California,1959,100207,12607,9366,3033,208,22621,39402,16907,22495,10295,1174,4938,3810,373,2456,12826
875,Pacific,California,1964,100184,11841,8983,2053,805,23280,39406,15563,23843,12218,1189,6837,3800,392,2882,10557
876,Pacific,California,1969,100071,10879,8242,1844,793,22856,39826,12825,27001,12532,1143,7202,3828,359,3191,10787
877,Pacific,California,1974,100071,11143,9276,1404,463,23910,39826,12449,27377,12742,1183,7401,3903,255,3550,8900
878,Pacific,California,1978,100071,11721,9457,1628,636,22890,37035,13400,23635,13197,1058,7976,3875,288,4007,11221
879,Pacific,California,1982,100031,11566,9579,1345,642,22580,37043,13000,24043,13827,1078,8686,3764,299,4448,10567
880,Pacific,California,1987,100031,11487,8689,1338,1460,21833,36441,12751,23690,14769,1088,10501,2889,291,5224,10277
881,Pacific,California,1992,99823,10412,8017,1227,1168,24434,34679,10687,23992,13372,1019,10985,1097,271,5572,11353
882,Pacific,California,1997,99823,10628,8676,1246,706,22343,32579,11761,20818,20996,1029,17932,1761,274,5922,7355
883,Pacific,California,2002,99814,10655,8591,1345,719,21729,33780,12070,21709,21558,1148,18299,1768,344,5095,6997
884,Pacific,California,2007,99814,9550,8084,809,657,27524,26983,12810,14172,25377,1090,19831,4094,362,5166,5213
885,Pacific,California,2012,99699,9577,8316,481,780,26667,16991,13409,3582,24896,1062,19623,3935,275,5299,16269
886,48 States,48 States,1945,1905362,450693,363163,47448,40081,659498,601717,345000,256717,85019,22607,22580,24762,15071,15012,93423
887,48 States,48 States,1949,1903825,477838,382892,69332,25614,631078,605570,319450,286120,87050,22880,27641,21458,15071,18283,84006
888,48 States,48 States,1954,1903825,465327,380542,66070,18715,632417,615384,301253,314131,91637,24494,27504,27395,12244,18561,80499
889,48 States,48 States,1959,1901756,457483,358449,65441,33586,630131,610863,243554,367309,97282,25129,31947,28860,11346,27121,78876
890,48 States,48 States,1964,1899569,443801,334823,57363,51615,636464,611823,223822,388001,115306,25840,49707,29302,10457,29162,63013
891,48 States,48 States,1969,1896959,471707,332778,88181,50748,601004,602768,197481,405287,112269,25705,53389,22888,10287,30840,78371
892,48 States,48 States,1974,1896959,464702,361172,82697,20833,595190,598475,178851,419624,113409,26026,56927,22410,8046,34556,90627
893,48 States,48 States,1978,1896959,470480,368394,76128,25958,584302,583085,171245,411840,123005,26300,66033,22278,8394,44218,91869
894,48 States,48 States,1982,1895702,468888,382573,64993,21322,594252,567168,157500,409668,127279,26397,71061,21809,8012,49649,88466
895,48 States,48 States,1987,1895702,463580,330684,64934,67962,588792,557828,154552,403651,135273,25159,84067,18942,7105,55908,93946
896,48 States,48 States,1992,1894104,459654,337389,66762,55503,589044,558545,145012,413630,136388,24755,86864,18589,6183,57960,92507
897,48 States,48 States,1997,1894104,454691,348566,67462,38663,577977,552066,140315,412097,141759,25176,95410,14637,6539,64292,102971
898,48 States,48 States,2002,1893803,441273,339829,61788,39657,584224,559135,134046,425090,152776,26913,100329,14776,10758,59193,97201
899,48 States,48 States,2007,1893803,407908,334893,35959,37057,612257,576037,127103,448934,169300,26185,109858,21022,12234,60167,68133
900,48 States,48 States,2012,1891100,391524,339708,12743,39072,654020,538566,129783,408783,168679,26409,108980,24988,8301,69441,68870
901,AK and HI,Alaska,1945,365482,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1,N.A.,N.A.
902,AK and HI,Alaska,1949,365482,12,6,2,4,N.A.,153008,364,152644,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,212462
903,AK and HI,Alaska,1954,365482,13,8,2,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
904,AK and HI,Alaska,1959,365481,24,16,4,4,2350,132314,640,131674,17069,80,14738,2250,1,21,213703
905,AK and HI,Alaska,1964,362517,24,17,4,3,2772,118156,367,117789,28207,113,25545,2546,3,23,213335
906,AK and HI,Alaska,1969,362516,18,14,3,1,1624,118276,111,118165,30470,208,27721,2523,18,47,212081
907,AK and HI,Alaska,1974,362516,25,17,2,6,1625,118076,108,117968,32819,257,30104,2457,1,83,209888
908,AK and HI,Alaska,1978,362516,29,21,4,4,1276,117932,66,117866,34359,290,31618,2450,1,254,208666
909,AK and HI,Alaska,1982,365333,53,26,6,21,1281,87045,60,86985,141534,290,139392,1850,2,353,135067
910,AK and HI,Alaska,1987,365333,77,31,6,40,1209,88643,57,88586,142520,493,140209,1816,2,535,132349
911,AK and HI,Alaska,1992,365039,96,28,7,61,1156,87936,59,87877,143616,441,141399,1774,2,433,131802
912,AK and HI,Alaska,1997,365039,68,34,8,26,1226,87936,88,87848,143013,206,141126,1679,2,567,132230
913,AK and HI,Alaska,2002,366049,90,32,9,49,1295,90475,147,90328,143262,343,141161,1755,2,167,130760
914,AK and HI,Alaska,2007,366049,86,31,7,48,738,93801,4,93797,143358,316,141287,1753,2,167,127898
915,AK and HI,Alaska,2012,365210,79,31,4,45,696,91817,6,91811,146204,494,143904,1803,2,166,126248
916,AK and HI,Hawaii,1945,4100,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20,N.A.,N.A.
917,AK and HI,Hawaii,1949,4100,465,297,154,14,1361,1211,412,799,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1063
918,AK and HI,Hawaii,1954,4100,307,307,N.A.,N.A.,1384,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
919,AK and HI,Hawaii,1959,4106,500,320,167,13,646,2000,441,1559,301,10,254,12,25,75,584
920,AK and HI,Hawaii,1964,4187,371,305,52,14,1203,1796,331,1465,376,34,258,32,52,83,358
921,AK and HI,Hawaii,1969,4112,372,176,36,160,987,1626,451,1175,476,40,227,176,33,126,525
922,AK and HI,Hawaii,1974,4112,357,151,37,169,1018,1626,460,1166,664,35,435,174,20,178,269
923,AK and HI,Hawaii,1978,4112,333,159,27,147,1143,1610,460,1150,535,42,300,173,20,174,317
924,AK and HI,Hawaii,1982,4112,345,156,34,155,1131,1067,440,627,926,46,567,292,21,180,463
925,AK and HI,Hawaii,1987,4112,344,162,41,141,1082,1318,414,904,806,44,582,159,21,199,363
926,AK and HI,Hawaii,1992,4111,294,136,38,120,976,1435,423,1012,760,38,586,115,21,517,130
927,AK and HI,Hawaii,1997,4111,293,101,42,150,961,1189,316,873,769,39,583,128,19,678,220
928,AK and HI,Hawaii,2002,4111,187,88,37,62,1002,1552,212,1340,769,34,588,137,10,227,374
929,AK and HI,Hawaii,2007,4111,145,72,23,49,738,1552,23,1530,824,32,602,177,13,227,625
930,AK and HI,Hawaii,2012,4111,372,161,22,189,770,1299,24,1275,990,37,728,204,20,256,423
931,U.S. total,U.S. total,1945,2274944,450693,363163,47448,40081,659498,601717,345000,256717,85019,22607,22580,24762,15092,15012,93423
932,U.S. total,U.S. total,1949,2273407,478315,383195,69488,25632,632439,759789,320226,439563,87050,22880,27641,21458,15071,18283,297531
933,U.S. total,U.S. total,1954,2273407,465647,380857,66072,18717,633801,615384,301253,314131,91637,24494,27504,27395,12244,18561,80499
934,U.S. total,U.S. total,1959,2271343,458007,358785,65612,33603,633127,745177,244635,500542,114652,25219,46939,31122,11372,27217,293163
935,U.S. total,U.S. total,1964,2266273,444196,335145,57419,51632,640439,731775,224520,507255,143889,25987,75510,31880,10512,29268,276706
936,U.S. total,U.S. total,1969,2263587,472097,332968,88220,50909,603615,722670,198043,524627,143215,25953,81337,25587,10338,31013,290977
937,U.S. total,U.S. total,1974,2263587,465084,361340,82736,21008,597833,718177,179419,538758,146892,26318,87466,25041,8067,34817,300784
938,U.S. total,U.S. total,1978,2263587,470842,368574,76159,26109,586721,702627,171771,530856,157899,26632,97951,24901,8415,44646,300852
939,U.S. total,U.S. total,1982,2265147,469286,382755,65033,21498,596664,655280,158000,497280,269739,26733,211020,23951,8035,50182,223996
940,U.S. total,U.S. total,1987,2265147,464001,330877,64981,68143,591083,647789,155023,493141,278599,25696,224858,20917,7128,56642,226658
941,U.S. total,U.S. total,1992,2263254,460044,337553,66807,55684,591176,647916,145494,502519,280765,25235,228849,20478,6206,58910,224439
942,U.S. total,U.S. total,1997,2263254,455052,348701,67512,38839,580165,641191,140719,500818,285541,25420,237120,16443,6560,65537,235420
943,U.S. total,U.S. total,2002,2263962,441550,339949,61834,39768,586521,651163,134405,516758,296807,27290,242079,16669,10770,59587,228334
944,U.S. total,U.S. total,2007,2263962,408139,334996,35989,37154,613733,671390,127130,544261,313482,26533,251747,22953,12250,60562,196657
945,U.S. total,U.S. total,2012,2260420,391975,339900,12769,39306,655486,631682,129813,501869,315872,26941,253613,26995,8323,69864,195542
